UniqueCount	AmbigCount
3	0
0	0
2	0
6	1
7	0
5	0
0	2
4	0
3	0
7	0
4	0
81	0
70	0
325	0
167	0
32	0
0	0
42	0
340	0
158	0
17	0
5	0
1933	0
189	0
1	0
1832	0
24	0
0	0
0	0
1	0
7	0
3	0
12	0
483	0
22	0
253	0
36	0
6	0
1	0
0	0
55	0
164	0
70	0
616	0
600	0
35	0
1	0
0	0
0	0
398	0
136	0
32	0
13	0
0	0
100	0
832	0
6	0
77	0
643	0
3	0
8	0
0	0
800	0
10	0
17	0
349	0
159	0
1	0
7	0
580	0
96	0
127	0
254	0
250	0
313	0
65	0
175	0
0	0
12370	0
0	0
248	0
1	0
304	0
0	0
7	0
211	130
544	0
948	0
283	0
1	0
28	0
2390	0
0	0
0	0
0	0
0	0
0	0
104	0
3023	0
476	0
3	0
6	0
3	0
0	0
0	0
2	0
0	0
71	0
0	0
222	0
5	0
71	0
108	0
17	0
78	0
0	0
0	0
0	0
9	0
72	0
452	0
1	0
285	0
212	0
36	0
10	0
0	0
0	0
87	0
0	0
311	0
0	0
2	0
8	0
141	0
562	0
6983	0
5	0
10	0
8	0
59	0
2	0
134	0
3	0
17	0
0	0
0	0
10	0
0	0
0	0
1	0
0	0
3	0
3	0
0	0
2	0
2	0
213	0
17	0
16	0
1	0
0	0
6	0
4	0
2	0
28	1
2	0
154	0
741	2
778	0
92	0
0	0
8	0
0	0
0	0
0	0
3	0
13	0
4	0
114	0
109	0
24	0
51	0
11	0
0	0
12	0
44	0
3	0
204	0
0	0
0	0
0	0
0	0
52	0
5	0
1	0
0	0
0	0
99	0
0	1
19	0
2	0
0	0
2346	33
0	0
5	0
24	0
159	0
2	0
119	0
0	0
10	0
0	0
3	0
19	0
3	0
27	0
5	0
148	0
49	0
7	0
0	0
56	0
1	0
6	0
52	0
3	0
653	0
149	0
0	0
98	0
8	2
11	0
0	0
4	0
183	0
1	0
34	0
27	0
886	0
72	0
324	0
447	0
62	0
17	0
131	0
20	0
153	0
251	0
1851	0
20	0
3429	0
13	0
11	0
17	0
297	0
1400	0
857	0
20	13
0	0
9	0
55	0
47	0
6901	0
115	86
3	86
1660	0
61	0
33	0
35	0
154	0
2	0
22	0
2	0
1	0
206	0
275	0
