TXNAME,GENEID
TRINITY_DN29218_c0_g1_i1,TRINITY_DN29218_c0_g1_i1
TRINITY_DN29280_c0_g1_i1,TRINITY_DN29280_c0_g1_i1
TRINITY_DN29255_c0_g1_i1,TRINITY_DN29255_c0_g1_i1
TRINITY_DN29291_c0_g1_i1,TRINITY_DN29291_c0_g1_i1
TRINITY_DN29211_c0_g1_i3,TRINITY_DN29211_c0_g1_i3
TRINITY_DN29213_c0_g1_i1,TRINITY_DN29213_c0_g1_i1
TRINITY_DN29273_c0_g1_i1,TRINITY_DN29273_c0_g1_i1
TRINITY_DN29296_c0_g1_i1,TRINITY_DN29296_c0_g1_i1
TRINITY_DN29297_c0_g1_i1,TRINITY_DN29297_c0_g1_i1
TRINITY_DN29216_c0_g1_i1,TRINITY_DN29216_c0_g1_i1
TRINITY_DN29229_c0_g2_i1,TRINITY_DN29229_c0_g2_i1
TRINITY_DN13007_c0_g1_i1,TRINITY_DN13007_c0_g1_i1
TRINITY_DN13047_c0_g1_i1,TRINITY_DN13047_c0_g1_i1
TRINITY_DN13035_c0_g1_i2,TRINITY_DN13035_c0_g1_i2
TRINITY_DN13058_c0_g1_i1,TRINITY_DN13058_c0_g1_i1
TRINITY_DN13097_c0_g1_i2,TRINITY_DN13097_c0_g1_i2
TRINITY_DN13099_c0_g1_i1,TRINITY_DN13099_c0_g1_i1
TRINITY_DN13038_c0_g1_i1,TRINITY_DN13038_c0_g1_i1
TRINITY_DN13009_c0_g1_i1,TRINITY_DN13009_c0_g1_i1
TRINITY_DN13080_c0_g1_i1,TRINITY_DN13080_c0_g1_i1
TRINITY_DN13033_c0_g1_i3,TRINITY_DN13033_c0_g1_i3
TRINITY_DN13028_c0_g1_i1,TRINITY_DN13028_c0_g1_i1
TRINITY_DN13010_c0_g1_i2,TRINITY_DN13010_c0_g1_i2
TRINITY_DN13023_c0_g1_i1,TRINITY_DN13023_c0_g1_i1
TRINITY_DN13031_c0_g1_i1,TRINITY_DN13031_c0_g1_i1
TRINITY_DN13045_c0_g1_i1,TRINITY_DN13045_c0_g1_i1
TRINITY_DN13067_c0_g1_i2,TRINITY_DN13067_c0_g1_i2
TRINITY_DN13082_c0_g1_i1,TRINITY_DN13082_c0_g1_i1
TRINITY_DN13083_c1_g1_i1,TRINITY_DN13083_c1_g1_i1
TRINITY_DN13083_c0_g1_i1,TRINITY_DN13083_c0_g1_i1
TRINITY_DN13066_c1_g1_i1,TRINITY_DN13066_c1_g1_i1
TRINITY_DN13066_c0_g1_i1,TRINITY_DN13066_c0_g1_i1
TRINITY_DN13066_c0_g2_i1,TRINITY_DN13066_c0_g2_i1
TRINITY_DN13063_c0_g1_i1,TRINITY_DN13063_c0_g1_i1
TRINITY_DN13041_c0_g1_i1,TRINITY_DN13041_c0_g1_i1
TRINITY_DN13048_c0_g1_i1,TRINITY_DN13048_c0_g1_i1
TRINITY_DN13078_c0_g1_i3,TRINITY_DN13078_c0_g1_i3
TRINITY_DN13049_c0_g1_i1,TRINITY_DN13049_c0_g1_i1
TRINITY_DN13071_c0_g1_i1,TRINITY_DN13071_c0_g1_i1
TRINITY_DN13087_c1_g1_i1,TRINITY_DN13087_c1_g1_i1
TRINITY_DN13087_c0_g1_i2,TRINITY_DN13087_c0_g1_i2
TRINITY_DN13019_c0_g1_i1,TRINITY_DN13019_c0_g1_i1
TRINITY_DN13057_c0_g1_i1,TRINITY_DN13057_c0_g1_i1
TRINITY_DN13096_c0_g1_i1,TRINITY_DN13096_c0_g1_i1
TRINITY_DN13042_c0_g1_i1,TRINITY_DN13042_c0_g1_i1
TRINITY_DN13002_c0_g1_i1,TRINITY_DN13002_c0_g1_i1
TRINITY_DN13076_c0_g1_i1,TRINITY_DN13076_c0_g1_i1
