Name	Length	EffectiveLength	TPM	NumReads
TRINITY_DN29218_c0_g1_i1	283	58.233	0.652636	2.000
TRINITY_DN29280_c0_g1_i1	365	100.738	0.377268	2.000
TRINITY_DN29255_c0_g1_i1	265	50.939	1.865220	5.000
TRINITY_DN29291_c0_g1_i1	391	118.020	0.319128	1.982
TRINITY_DN29211_c0_g1_i3	1640	1333.088	0.441892	31.000
TRINITY_DN29213_c0_g1_i1	224	34.332	0.000000	0.000
TRINITY_DN29273_c0_g1_i1	322	76.692	0.247779	1.000
TRINITY_DN29296_c0_g1_i1	406	128.603	0.000000	0.000
TRINITY_DN29297_c0_g1_i1	526	230.634	0.247179	3.000
TRINITY_DN29216_c0_g1_i1	1105	798.088	0.452393	19.000
TRINITY_DN29229_c0_g2_i1	344	88.733	0.000000	0.000
TRINITY_DN13007_c0_g1_i1	1103	796.088	2.745048	115.000
TRINITY_DN13047_c0_g1_i1	986	679.191	2.965699	106.000
TRINITY_DN13035_c0_g1_i2	2188	1881.088	6.323804	626.000
TRINITY_DN13058_c0_g1_i1	929	622.359	9.282094	304.000
TRINITY_DN13097_c0_g1_i2	1564	1257.088	0.665120	44.000
TRINITY_DN13099_c0_g1_i1	699	394.993	0.000000	0.000
TRINITY_DN13038_c0_g1_i1	1446	1139.088	0.450422	27.000
TRINITY_DN13009_c0_g1_i1	1310	1003.088	9.415220	497.000
TRINITY_DN13080_c0_g1_i1	847	540.831	8.819126	251.000
TRINITY_DN13033_c0_g1_i3	445	159.648	2.380563	20.000
TRINITY_DN13028_c0_g1_i1	530	234.292	0.000000	0.000
TRINITY_DN13010_c0_g1_i2	1002	695.088	75.125962	2748.000
TRINITY_DN13023_c0_g1_i1	379	110.094	33.657647	195.000
TRINITY_DN13031_c0_g1_i1	873	566.645	0.402423	12.000
TRINITY_DN13045_c0_g1_i1	935	628.339	92.360850	3054.000
TRINITY_DN13067_c0_g1_i2	621	319.614	1.189098	20.000
TRINITY_DN13082_c0_g1_i1	660	357.120	0.478896	9.000
TRINITY_DN13083_c1_g1_i1	260	48.975	0.776016	2.000
TRINITY_DN13083_c0_g1_i1	813	507.132	0.224824	6.000
TRINITY_DN13066_c1_g1_i1	546	249.066	0.381477	5.000
TRINITY_DN13066_c0_g1_i1	730	425.295	0.000000	0.000
TRINITY_DN13066_c0_g2_i1	969	662.234	0.200863	7.000
TRINITY_DN13063_c0_g1_i1	2216	1909.088	8.162084	820.000
TRINITY_DN13041_c0_g1_i1	2036	1729.088	0.912167	83.000
TRINITY_DN13048_c0_g1_i1	1728	1421.088	5.749905	430.000
TRINITY_DN13078_c0_g1_i3	766	460.712	0.453708	11.000
TRINITY_DN13049_c0_g1_i1	1268	961.088	0.177948	9.000
TRINITY_DN13071_c0_g1_i1	717	412.569	0.276355	6.000
TRINITY_DN13087_c1_g1_i1	438	153.804	1.235504	10.000
TRINITY_DN13087_c0_g1_i2	1004	697.088	2.616958	96.000
TRINITY_DN13019_c0_g1_i1	981	674.204	4.791489	170.000
TRINITY_DN13057_c0_g1_i1	786	480.435	3.085131	78.000
TRINITY_DN13096_c0_g1_i1	702	397.923	22.969908	481.000
TRINITY_DN13042_c0_g1_i1	2494	2187.088	7.272310	837.000
TRINITY_DN13002_c0_g1_i1	1771	1464.088	0.674915	52.000
TRINITY_DN13076_c0_g1_i1	820	514.063	0.369656	10.000
TRINITY_DN13075_c0_g1_i1	374	106.718	0.356128	2.000
TRINITY_DN13075_c0_g2_i1	320	75.815	0.000000	0.000
TRINITY_DN13069_c0_g1_i1	1679	1372.088	13.669365	987.000
TRINITY_DN13070_c0_g1_i4	2545	2238.088	1.961318	231.000
TRINITY_DN13026_c0_g1_i1	858	551.743	3.650754	106.000
TRINITY_DN13044_c1_g2_i2	1319	1012.088	0.732250	39.000
TRINITY_DN13044_c1_g1_i1	321	76.245	0.996928	4.000
TRINITY_DN13044_c0_g1_i1	2340	2033.088	2.187121	234.000
TRINITY_DN13051_c0_g2_i1	874	567.637	36.054424	1077.000
TRINITY_DN13004_c0_g1_i2	809	503.177	0.642010	17.000
TRINITY_DN13095_c0_g1_i2	1223	916.088	2.281753	110.000
TRINITY_DN13077_c0_g1_i1	1758	1451.088	13.069228	998.000
TRINITY_DN13016_c0_g1_i1	757	451.842	0.799061	19.000
TRINITY_DN13012_c1_g1_i1	643	340.725	0.780796	14.000
TRINITY_DN13012_c2_g1_i1	211	28.362	0.000000	0.000
TRINITY_DN13052_c0_g1_i1	876	569.618	31.025050	930.000
TRINITY_DN13008_c0_g1_i1	513	218.786	0.000000	0.000
TRINITY_DN13056_c1_g2_i1	700	395.969	0.047990	1.000
TRINITY_DN13013_c0_g1_i1	1527	1220.088	7.647218	491.000
TRINITY_DN13040_c0_g1_i2	3514	3207.088	1.747931	295.000
TRINITY_DN13050_c0_g1_i1	866	559.684	0.441381	13.000
TRINITY_DN13074_c0_g2_i1	521	226.079	0.252159	3.000
TRINITY_DN13079_c0_g1_i2	3268	2961.088	3.914639	610.000
TRINITY_DN13088_c0_g2_i1	1163	856.088	3.951070	178.000
TRINITY_DN13088_c3_g1_i2	1365	1058.088	2.981257	166.000
TRINITY_DN13088_c1_g1_i1	1732	1425.088	4.240320	318.000
TRINITY_DN13073_c1_g1_i1	919	612.403	11.636087	375.000
TRINITY_DN13025_c0_g1_i1	1881	1574.088	5.046153	418.000
TRINITY_DN13032_c0_g1_i8	2021	1714.088	1.252733	113.000
TRINITY_DN13060_c0_g1_i1	2144	1837.088	3.144538	304.000
TRINITY_DN13090_c0_g1_i1	843	536.852	0.247775	7.000
