transcript,KO
Transcript_1.p1,
Transcript_10.p1,
Transcript_100.p2,
Transcript_1000.p4,
Transcript_10000.p2,
Transcript_10001.p1,K03671
Transcript_10002.p1,
Transcript_10005.p1,
Transcript_10009.p1,
Transcript_1001.p1,
Transcript_10010.p1,
Transcript_10011.p1,
Transcript_10012.p2,K00569
Transcript_10013.p1,
Transcript_10014.p4,
Transcript_10015.p2,K11268
Transcript_10017.p2,
Transcript_10018.p1,K09250
Transcript_10019.p1,
Transcript_1002.p3,
Transcript_10020.p1,K14803
Transcript_10021.p1,
Transcript_10022.p1,
Transcript_10023.p1,
Transcript_10024.p3,
Transcript_10025.p1,K08576
Transcript_10026.p1,K08576
Transcript_10028.p1,
Transcript_10029.p2,
Transcript_1003.p2,
Transcript_10030.p4,
Transcript_10031.p5,
Transcript_10032.p1,
Transcript_10033.p2,
Transcript_10034.p1,
Transcript_10035.p1,K01872
Transcript_10037.p1,
Transcript_10038.p1,
Transcript_1004.p3,
Transcript_10040.p2,
Transcript_10041.p1,
Transcript_10042.p1,K08288
Transcript_10043.p1,
Transcript_10044.p2,
Transcript_10045.p1,K20195
Transcript_10046.p1,
Transcript_1005.p2,
Transcript_10050.p1,K04506
Transcript_10052.p2,
Transcript_10053.p1,K02999
Transcript_10054.p1,
Transcript_10056.p1,
Transcript_10057.p2,
Transcript_10059.p5,
Transcript_1006.p1,K01443
Transcript_10060.p1,
Transcript_10061.p3,K06252
Transcript_10062.p3,
Transcript_10063.p1,
Transcript_10064.p2,
Transcript_10065.p2,K17751
Transcript_10067.p2,
Transcript_10068.p2,
Transcript_10069.p2,K14674
Transcript_10071.p1,
Transcript_10072.p2,K04739
Transcript_10073.p1,
Transcript_10075.p1,
Transcript_10076.p1,
Transcript_10077.p1,
Transcript_10078.p1,
Transcript_10079.p3,
Transcript_1008.p4,
Transcript_10080.p1,
Transcript_10081.p1,
Transcript_10084.p1,
Transcript_10085.p2,
Transcript_10086.p4,
Transcript_10087.p2,
Transcript_10088.p3,
Transcript_10089.p1,
Transcript_1009.p1,
Transcript_10091.p1,
Transcript_10092.p1,
Transcript_10093.p2,K06630
Transcript_10094.p2,
Transcript_10096.p1,K15445
Transcript_10097.p1,
Transcript_10098.p1,
Transcript_10099.p1,
Transcript_101.p2,
Transcript_1010.p1,
Transcript_10100.p3,
Transcript_10101.p1,
Transcript_10102.p1,
Transcript_10103.p2,
Transcript_10104.p2,
Transcript_10105.p1,
Transcript_10106.p1,
Transcript_10108.p1,
Transcript_10109.p3,K01164
Transcript_1011.p1,
Transcript_10110.p4,
Transcript_10111.p1,K15361
Transcript_10112.p1,
Transcript_10113.p3,
Transcript_10114.p2,
Transcript_10115.p1,
Transcript_10116.p1,
Transcript_10117.p2,
Transcript_10118.p1,
Transcript_1012.p1,
Transcript_10122.p2,
Transcript_10123.p1,
Transcript_10124.p1,
Transcript_10126.p3,
Transcript_10127.p1,K23342
Transcript_10128.p1,
Transcript_10129.p1,K15538
Transcript_1013.p1,K05389
Transcript_10130.p1,
Transcript_10131.p1,
Transcript_10132.p2,
Transcript_10133.p1,
Transcript_10134.p1,K22733
Transcript_10135.p1,K08857
Transcript_10136.p1,
Transcript_10138.p1,
Transcript_1014.p3,
Transcript_10140.p1,
Transcript_10141.p2,
Transcript_10142.p3,
Transcript_10143.p1,K02258
Transcript_10144.p1,
Transcript_10145.p1,
Transcript_10146.p2,
Transcript_10147.p1,
Transcript_10148.p1,
Transcript_10149.p1,
Transcript_1015.p1,
Transcript_10150.p1,
Transcript_10151.p1,
Transcript_10152.p1,
Transcript_10153.p4,
Transcript_10155.p2,
Transcript_10156.p3,
Transcript_10157.p1,K06847
Transcript_10158.p1,
Transcript_10159.p1,
Transcript_1016.p1,K10255
Transcript_10160.p1,K04460
Transcript_10161.p1,
Transcript_10162.p1,
Transcript_10163.p1,
Transcript_10164.p1,
Transcript_10165.p1,
Transcript_10166.p2,
Transcript_10167.p1,
Transcript_10168.p1,
Transcript_10169.p1,K13146
Transcript_1017.p2,K10867
Transcript_10170.p1,
Transcript_10171.p1,
Transcript_10172.p1,
Transcript_10173.p5,
Transcript_10174.p1,
Transcript_10175.p1,
Transcript_10177.p3,K08060
Transcript_10178.p2,K08060
Transcript_10179.p1,K01733
Transcript_1018.p3,
Transcript_10180.p4,
