,seqid,Dbxref,Name,Note
45659,Transcript_10001,"""Pfam:PF00085.16""",Thioredoxin,Thioredoxin
45660,Transcript_10002,"""Pfam:PF07910.9""",Peptidase_C78,Peptidase family C78
45667,Transcript_10009,"""Pfam:PF13637.2""",Ank_4,Ankyrin repeats (many copies)
45683,Transcript_10011,"""Pfam:PF10250.5""",O-FucT,GDP-fucose protein O-fucosyltransferase
45684,Transcript_10012,"""Pfam:PF05724.7""",TPMT,Thiopurine S-methyltransferase (TPMT)
45685,Transcript_10015,"""Pfam:PF13880.2""",Acetyltransf_13,ESCO1/2 acetyl-transferase
45692,Transcript_10018,"""Pfam:PF13451.2""",zf-trcl,Probable zinc-ribbon domain
45697,Transcript_10020,"""Pfam:PF00481.17""",PP2C,Protein phosphatase 2C
45704,Transcript_10024,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
45708,Transcript_10025,"""Pfam:PF01067.18""",Calpain_III,"Calpain large subunit, domain III"
45710,Transcript_10026,"""Pfam:PF00648.17""",Peptidase_C2,Calpain family cysteine protease
45711,Transcript_10028,"""Pfam:PF00160.17""",Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
45712,Transcript_10029,"""Pfam:PF00271.27""",Helicase_C,Helicase conserved C-terminal domain
45713,Transcript_10031,"""Pfam:PF00385.20""",Chromo,Chromo (CHRromatin Organisation MOdifier) domain
45714,Transcript_10034,"""Pfam:PF10785.5""",NADH-u_ox-rdase,"NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit"
45716,Transcript_10035,"""Pfam:PF01411.15""",tRNA-synt_2c,tRNA synthetases class II (A)
45719,Transcript_10037,"""Pfam:PF07859.9""",Abhydrolase_3,alpha/beta hydrolase fold
25673,Transcript_1004,"""Pfam:PF08241.8""",Methyltransf_11,Methyltransferase domain
45723,Transcript_10040,"""Pfam:PF13621.2""",Cupin_8,Cupin-like domain
45724,Transcript_10041,"""Pfam:PF09084.7""",NMT1,NMT1/THI5 like
45725,Transcript_10042,"""Pfam:PF13015.2""",PRKCSH_1,Glucosidase II beta subunit-like protein
45726,Transcript_10043,"""Pfam:PF00777.14""",Glyco_transf_29,Glycosyltransferase family 29 (sialyltransferase)
45727,Transcript_10045,"""Pfam:PF03164.10""",Mon1,Trafficking protein Mon1
45730,Transcript_10046,"""Pfam:PF13621.2""",Cupin_8,Cupin-like domain
45731,Transcript_10053,"""Pfam:PF04997.8""",RNA_pol_Rpb1_1,"RNA polymerase Rpb1, domain 1"
25674,Transcript_1006,"""Pfam:PF01979.16""",Amidohydro_1,Amidohydrolase family
45733,Transcript_10061,"""Pfam:PF07974.9""",EGF_2,EGF-like domain
45735,Transcript_10062,"""Pfam:PF07082.7""",DUF1350,Protein of unknown function (DUF1350)
45738,Transcript_10077,"""Pfam:PF00102.23""",Y_phosphatase,Protein-tyrosine phosphatase
45739,Transcript_10079,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
45741,Transcript_10084,"""Pfam:PF03407.12""",Nucleotid_trans,Nucleotide-diphospho-sugar transferase
45742,Transcript_10086,"""Pfam:PF04406.10""",TP6A_N,Type IIB DNA topoisomerase
25677,Transcript_1009,"""Pfam:PF08241.8""",Methyltransf_11,Methyltransferase domain
45745,Transcript_10096,"""Pfam:PF01746.17""",tRNA_m1G_MT,tRNA (Guanine-1)-methyltransferase
25681,Transcript_1010,"""Pfam:PF03660.10""",PHF5,PHF5-like protein
45746,Transcript_10102,"""Pfam:PF02464.13""",CinA,Competence-damaged protein
45748,Transcript_10103,"""Pfam:PF03024.10""",Folate_rec,Folate receptor family
45749,Transcript_10109,"""Pfam:PF08170.8""",POPLD,POPLD (NUC188) domain
45750,Transcript_10110,"""Pfam:PF00176.19""",SNF2_N,SNF2 family N-terminal domain
45751,Transcript_10111,"""Pfam:PF11816.4""",DUF3337,Domain of unknown function (DUF3337)
45757,Transcript_10113,"""Pfam:PF00595.20""",PDZ,PDZ domain (Also known as DHR or GLGF)
45759,Transcript_10118,"""Pfam:PF00588.15""",SpoU_methylase,SpoU rRNA Methylase family
25682,Transcript_1012,"""Pfam:PF04969.12""",CS,CS domain
45760,Transcript_10122,"""Pfam:PF03151.12""",TPT,Triose-phosphate Transporter family
45762,Transcript_10123,"""Pfam:PF03016.11""",Exostosin,Exostosin family
45765,Transcript_10128,"""Pfam:PF05773.18""",RWD,RWD domain
45767,Transcript_10129,"""Pfam:PF16317.1""",Glyco_hydro_99,Glycosyl hydrolase family 99
25684,Transcript_1013,"""Pfam:PF07885.12""",Ion_trans_2,Ion channel
45774,Transcript_10130,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
45780,Transcript_10132,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
45794,Transcript_10134,"""Pfam:PF05653.10""",Mg_trans_NIPA,Magnesium transporter NIPA
45795,Transcript_10135,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
45798,Transcript_10136,"""Pfam:PF12340.4""",DUF3638,Protein of unknown function (DUF3638)
25685,Transcript_1014,"""Pfam:PF01555.14""",N6_N4_Mtase,DNA methylase
45802,Transcript_10140,"""Pfam:PF01591.14""",6PF2K,6-phosphofructo-2-kinase
45803,Transcript_10143,"""Pfam:PF04442.10""",CtaG_Cox11,Cytochrome c oxidase assembly protein CtaG/Cox11
45804,Transcript_10146,"""Pfam:PF14765.2""",PS-DH,Polyketide synthase dehydratase
45805,Transcript_10148,"""Pfam:PF01442.14""",Apolipoprotein,Apolipoprotein A1/A4/E domain
45806,Transcript_10150,"""Pfam:PF02263.15""",GBP,"Guanylate-binding protein, N-terminal domain"
45808,Transcript_10151,"""Pfam:PF04916.9""",Phospholip_B,Phospholipase B
45809,Transcript_10158,"""Pfam:PF14226.2""",DIOX_N,non-haem dioxygenase in morphine synthesis N-terminal
25686,Transcript_1016,"""Pfam:PF00487.20""",FA_desaturase,Fatty acid desaturase
45811,Transcript_10160,"""Pfam:PF13414.2""",TPR_11,TPR repeat
45819,Transcript_10163,"""Pfam:PF03016.11""",Exostosin,Exostosin family
45820,Transcript_10165,"""Pfam:PF00271.27""",Helicase_C,Helicase conserved C-terminal domain
45821,Transcript_10167,"""Pfam:PF00003.18""",7tm_3,7 transmembrane sweet-taste receptor of 3 GCPR
45822,Transcript_10168,"""Pfam:PF06775.10""",Seipin,Putative adipose-regulatory protein (Seipin)
45823,Transcript_10169,"""Pfam:PF10996.4""",Beta-Casp,Beta-Casp domain
25687,Transcript_1017,"""Pfam:PF00533.22""",BRCT,BRCA1 C Terminus (BRCT) domain
45825,Transcript_10170,"""Pfam:PF12695.3""",Abhydrolase_5,Alpha/beta hydrolase family
45829,Transcript_10171,"""Pfam:PF02518.22""",HATPase_c,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
45831,Transcript_10174,"""Pfam:PF04727.9""",ELMO_CED12,ELMO/CED-12 family
45833,Transcript_10177,"""Pfam:PF12799.3""",LRR_4,Leucine Rich repeats (2 copies)
45846,Transcript_10179,"""Pfam:PF14821.2""",Thr_synth_N,Threonine synthase N terminus
45849,Transcript_10181,"""Pfam:PF08241.8""",Methyltransf_11,Methyltransferase domain
