original,renamed
TRINITY_DN29218_c0_g1_i1 len=283 path=[0:0-282],Transcript_0
TRINITY_DN29280_c0_g1_i1 len=365 path=[0:0-364],Transcript_1
TRINITY_DN29255_c0_g1_i1 len=265 path=[0:0-264],Transcript_2
TRINITY_DN29291_c0_g1_i1 len=391 path=[0:0-390],Transcript_3
TRINITY_DN29211_c0_g1_i3 len=1640 path=[0:0-402 1:403-529 3:530-636 4:637-834 6:835-1639],Transcript_4
TRINITY_DN29213_c0_g1_i1 len=224 path=[0:0-223],Transcript_5
TRINITY_DN29273_c0_g1_i1 len=322 path=[0:0-321],Transcript_6
TRINITY_DN29296_c0_g1_i1 len=406 path=[0:0-405],Transcript_7
TRINITY_DN29297_c0_g1_i1 len=526 path=[0:0-307 1:308-525],Transcript_8
TRINITY_DN29216_c0_g1_i1 len=1105 path=[0:0-1104],Transcript_9
TRINITY_DN29229_c0_g2_i1 len=344 path=[0:0-343],Transcript_10
TRINITY_DN13007_c0_g1_i1 len=1103 path=[0:0-563 2:564-1102],Transcript_11
TRINITY_DN13047_c0_g1_i1 len=986 path=[0:0-985],Transcript_12
TRINITY_DN13035_c0_g1_i2 len=2188 path=[0:0-1499 2:1500-1714 3:1715-2167 4:2168-2187],Transcript_13
TRINITY_DN13058_c0_g1_i1 len=929 path=[0:0-928],Transcript_14
TRINITY_DN13097_c0_g1_i2 len=1564 path=[0:0-265 1:266-267 2:268-1563],Transcript_15
TRINITY_DN13099_c0_g1_i1 len=699 path=[0:0-698],Transcript_16
TRINITY_DN13038_c0_g1_i1 len=1446 path=[0:0-1445],Transcript_17
TRINITY_DN13009_c0_g1_i1 len=1310 path=[0:0-1309],Transcript_18
TRINITY_DN13080_c0_g1_i1 len=847 path=[0:0-846],Transcript_19
TRINITY_DN13033_c0_g1_i3 len=445 path=[1:0-199 3:200-294 4:295-444],Transcript_20
TRINITY_DN13028_c0_g1_i1 len=530 path=[0:0-529],Transcript_21
TRINITY_DN13010_c0_g1_i2 len=1002 path=[0:0-850 2:851-1001],Transcript_22
TRINITY_DN13023_c0_g1_i1 len=379 path=[0:0-378],Transcript_23
TRINITY_DN13031_c0_g1_i1 len=873 path=[0:0-187 2:188-872],Transcript_24
TRINITY_DN13045_c0_g1_i1 len=935 path=[0:0-934],Transcript_25
TRINITY_DN13067_c0_g1_i2 len=621 path=[0:0-301 2:302-620],Transcript_26
TRINITY_DN13082_c0_g1_i1 len=660 path=[0:0-659],Transcript_27
TRINITY_DN13083_c1_g1_i1 len=260 path=[0:0-259],Transcript_28
TRINITY_DN13083_c0_g1_i1 len=813 path=[0:0-84 2:85-234 3:235-357 4:358-812],Transcript_29
TRINITY_DN13066_c1_g1_i1 len=546 path=[0:0-545],Transcript_30
TRINITY_DN13066_c0_g1_i1 len=730 path=[0:0-729],Transcript_31
TRINITY_DN13066_c0_g2_i1 len=969 path=[0:0-968],Transcript_32
TRINITY_DN13063_c0_g1_i1 len=2216 path=[0:0-2215],Transcript_33
TRINITY_DN13041_c0_g1_i1 len=2036 path=[0:0-2035],Transcript_34
TRINITY_DN13048_c0_g1_i1 len=1728 path=[0:0-1727],Transcript_35
TRINITY_DN13078_c0_g1_i3 len=766 path=[0:0-223 2:224-308 3:309-511 4:512-765],Transcript_36
TRINITY_DN13049_c0_g1_i1 len=1268 path=[0:0-339 1:340-759 2:760-1267],Transcript_37
TRINITY_DN13071_c0_g1_i1 len=717 path=[0:0-716],Transcript_38
TRINITY_DN13087_c1_g1_i1 len=438 path=[0:0-437],Transcript_39
TRINITY_DN13087_c0_g1_i2 len=1004 path=[0:0-561 1:562-563 2:564-1003],Transcript_40
TRINITY_DN13019_c0_g1_i1 len=981 path=[0:0-503 1:504-565 2:566-980],Transcript_41
TRINITY_DN13057_c0_g1_i1 len=786 path=[0:0-785],Transcript_42
TRINITY_DN13096_c0_g1_i1 len=702 path=[0:0-701],Transcript_43
TRINITY_DN13042_c0_g1_i1 len=2494 path=[0:0-2493],Transcript_44
TRINITY_DN13002_c0_g1_i1 len=1771 path=[0:0-1770],Transcript_45
TRINITY_DN13076_c0_g1_i1 len=820 path=[0:0-819],Transcript_46
TRINITY_DN13075_c0_g1_i1 len=374 path=[0:0-373],Transcript_47
TRINITY_DN13075_c0_g2_i1 len=320 path=[0:0-319],Transcript_48
TRINITY_DN13069_c0_g1_i1 len=1679 path=[0:0-1678],Transcript_49
TRINITY_DN13070_c0_g1_i4 len=2545 path=[0:0-1115 2:1116-1687 3:1688-1715 4:1716-2011 6:2012-2089 7:2090-2381 8:2382-2544],Transcript_50
TRINITY_DN13026_c0_g1_i1 len=858 path=[0:0-857],Transcript_51
TRINITY_DN13044_c1_g2_i2 len=1319 path=[0:0-169 2:170-378 3:379-561 4:562-1318],Transcript_52
TRINITY_DN13044_c1_g1_i1 len=321 path=[0:0-320],Transcript_53
TRINITY_DN13044_c0_g1_i1 len=2340 path=[0:0-1120 3:1121-1615 4:1616-1639 6:1640-1894 7:1895-1947 8:1948-2339],Transcript_54
TRINITY_DN13051_c0_g2_i1 len=874 path=[0:0-873],Transcript_55
TRINITY_DN13004_c0_g1_i2 len=809 path=[0:0-426 2:427-808],Transcript_56
TRINITY_DN13095_c0_g1_i2 len=1223 path=[0:0-1222],Transcript_57
TRINITY_DN13077_c0_g1_i1 len=1758 path=[0:0-1757],Transcript_58
TRINITY_DN13016_c0_g1_i1 len=757 path=[0:0-487 2:488-756],Transcript_59
TRINITY_DN13012_c1_g1_i1 len=643 path=[0:0-642],Transcript_60
TRINITY_DN13012_c2_g1_i1 len=211 path=[0:0-210],Transcript_61
