"","KO","trinity","path"
"6","K03671","TRINITY_DN15870_c0_g1_i1","ko04621"
"13","K00569","TRINITY_DN15889_c0_g1_i1","ko00983"
"16","K11268","TRINITY_DN15820_c0_g1_i1","NA"
"18","K09250","TRINITY_DN15826_c0_g1_i1","NA"
"21","K14803","TRINITY_DN15897_c0_g1_i1","NA"
"26","K08576","TRINITY_DN15805_c0_g1_i2","NA"
"27","K08576","TRINITY_DN15805_c0_g2_i1","NA"
"36","K01872","TRINITY_DN15817_c0_g1_i1","ko00970"
"42","K08288","TRINITY_DN15855_c0_g1_i1","ko04141"
"45","K20195","TRINITY_DN15836_c0_g1_i1","ko04138"
"48","K04506","TRINITY_DN15813_c0_g1_i1","ko04013"
"50","K02999","TRINITY_DN28423_c0_g1_i1","ko03020"
"55","K01443","TRINITY_DN5357_c1_g1_i3","ko00520"
"57","K06252","TRINITY_DN28418_c0_g1_i1","ko04151"
"61","K17751","TRINITY_DN28469_c0_g1_i1","ko04022"
"64","K14674","TRINITY_DN28420_c0_g1_i1","ko00100"
"66","K04739","TRINITY_DN28462_c0_g1_i1","ko04910"
"85","K06630","TRINITY_DN17335_c0_g1_i1","ko04011"
"87","K15445","TRINITY_DN17366_c3_g1_i1","NA"
"101","K01164","TRINITY_DN17325_c0_g1_i1","ko03008"
"104","K15361","TRINITY_DN17373_c0_g1_i1","ko03460"
"117","K23342","TRINITY_DN17355_c0_g1_i2","NA"
"119","K15538","TRINITY_DN17370_c1_g1_i1","NA"
"120","K05389","TRINITY_DN5333_c0_g1_i5","NA"
"125","K22733","TRINITY_DN17371_c0_g1_i1","NA"
"126","K08857","TRINITY_DN17344_c0_g1_i1","NA"
"133","K02258","TRINITY_DN17380_c0_g1_i4","ko00190"
"147","K06847","TRINITY_DN17321_c0_g3_i2","ko04350"
"150","K10255","TRINITY_DN5353_c0_g1_i1","ko02020"
"151","K04460","TRINITY_DN9850_c1_g2_i1","ko04010"
"160","K13146","TRINITY_DN9827_c2_g1_i2","NA"
"161","K10867","TRINITY_DN5319_c0_g1_i1","ko03440"
"168","K08060","TRINITY_DN9802_c0_g4_i1","ko04612"
"169","K08060","TRINITY_DN9802_c0_g1_i1","ko04612"
"170","K01733","TRINITY_DN9832_c0_g1_i1","ko00260"
"173","K10770","TRINITY_DN9878_c0_g2_i5","NA"
"178","K01403","TRINITY_DN9813_c0_g2_i1","ko01522"
"184","K08857","TRINITY_DN9876_c0_g1_i5","NA"
"187","K09580","TRINITY_DN9825_c0_g1_i1","ko04141"
"188","K11497","TRINITY_DN9855_c5_g1_i1","NA"
"190","K02935","TRINITY_DN9855_c1_g1_i1","ko03010"
"192","K15336","TRINITY_DN9892_c0_g1_i1","NA"
"193","K00895","TRINITY_DN16173_c0_g1_i1","ko00010"
"194","K00339","TRINITY_DN5312_c0_g1_i4","ko00190"
"195","K04875","TRINITY_DN9830_c0_g1_i1","NA"
"196","K19673","TRINITY_DN9846_c0_g1_i4","NA"
"197","K00810","TRINITY_DN9845_c0_g1_i2","NA"
"200","K13917","TRINITY_DN9883_c0_g2_i1","ko03015"
